"","Name","Program.Identifier","Inspection.Date","Description","Address","City","Zip.Code","Phone","Longitude","Latitude","Inspection.Business.Name","Inspection.Type","Inspection.Score","Inspection.Result","Inspection.Closed.Business","Violation.Type","Violation.Description","Violation.Points","Business_ID","Inspection_Serial_Num","Violation_Record_ID","Grade"
"11","BA BAR- SOUTH LAKE UNION","BA BAR- SOUTH LAKE UNION","1/2/18","Seating 51-150 - Risk Category III","500 TERRY AVE N","SEATTLE",98109,"(206) 434-1221",-122.3368374,47.62342887,"BA BAR- SOUTH LAKE UNION","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0086346","DAGHQBHAW","",2
"12","Bravehorse Tavern","Bravehorse Tavern","1/2/18","Seating 51-150 - Risk Category III","310 TERRY AVE N","SEATTLE",98109,"(206) 448-2001",-122.3367807,47.62150569,"Bravehorse Tavern","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0081278","DAS1TRXZD","",2
"13","CUOCO","CUOCO","1/2/18","Seating 151-250 - Risk Category III","310 TERRY AVE N","SEATTLE",98109,"(206) 448-2001",-122.3367807,47.62150569,"CUOCO","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0081275","DACMUAW4Q","",2
"14","SPECIALTY'S CAFE & BAKERY","SPECIALTY'S CAFE & BAKERY","1/2/18","Seating 51-150 - Risk Category III","520 TERRY AVE N","SEATTLE",98109,"(415) 362-2052",-122.3368339,47.62356681,"SPECIALTY'S CAFE & BAKERY","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0082358","DAPVH4CSD","",1
"15","OASIS TEA ZONE","OASIS TEA ZONE","1/2/18","Seating 13-50 - Risk Category II","606 E PINE ST","SEATTLE",98122,"(206) 931-3994",-122.3238876,47.61540474,"OASIS TEA ZONE","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0085665","DARVESOWN","",1
"16","OLD SCHOOL FROZEN CUSTARD","OLD SCHOOL FROZEN CUSTARD","1/2/18","Seating 0-12 - Risk Category II","1316 E PIKE ST","SEATTLE",98122,"(206) 948-1788",-122.3146451,47.6142767,"OLD SCHOOL FROZEN CUSTARD","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0078096","DAOU9YAJT","",1
"17","STARBUCKS COFFEE","STARBUCKS COFFEE","1/2/18","Seating 13-50 - Risk Category II","824 E PIKE ST","SEATTLE",98122,"(206) 318-2340",-122.3210028,47.61425793,"STARBUCKS COFFEE","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0083300","DAXYEDMUI","",1
"18","VERVE BOWLS","VERVE BOWLS","1/2/18","Seating 13-50 - Risk Category II","714 E PIKE ST","SEATTLE",98122,"(206) 473-2766",-122.3227158,47.61436575,"VERVE BOWLS","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0085970","DAXNDWUYK","",1
"19","HARD WOK CAFE","HARDWOK CAFE","1/2/18","Seating 13-50 - Risk Category III","1207 S JACKSON ST #110B","SEATTLE",98144,"(206) 979-3968",-122.316585,47.598857,"HARD WOK CAFE","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0081768","DA4SZG8EL","",2
"20","PHO SO 1 LLC","PHO SO 1","1/2/18","Seating 51-150 - Risk Category III","1207 S JACKSON ST #107","SEATTLE",98144,"(206) 860-2824",-122.3164425,47.59882228,"PHO SO 1 LLC","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0029021","DAYDFEZNH","",2
"21","SAIGON VIETNAM DELI","SAIGON VIETNAM DELI","1/2/18","Seating 0-12 - Risk Category III","1200 S JACKSON ST ","Seattle",98144,"(206) 329-7044",-122.3167468,47.59960494,"SAIGON VIETNAM DELI","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0012643","DARVKZPHK","",3
"22","AMBROSIA","AMBROSIA","1/3/18","Seating 13-50 - Risk Category I","619 S KING ST ","Seattle",98104,"(206) 623-8028",-122.3254257,47.59820366,"AMBROSIA","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0050040","DATOYHKGO","",2
"23","PING'S FOOD MART","PING'S FOOD MART","1/3/18","Seating 13-50 - Risk Category III","508 S KING ST ","SEATTLE",98104,"(206) 623-6764",-122.3272951,47.59848295,"PING'S FOOD MART","Routine Inspection/Field Review",65,"Unsatisfactory",FALSE,"RED","0500 - Proper barriers used to prevent bare hand contact with ready to eat foods.",25,"PR0017934","DAWRDLS0D","IVMSBLPO2",2
"24","PING'S FOOD MART","PING'S FOOD MART","1/3/18","Seating 13-50 - Risk Category III","508 S KING ST ","SEATTLE",98104,"(206) 623-6764",-122.3272951,47.59848295,"PING'S FOOD MART","Routine Inspection/Field Review",65,"Unsatisfactory",FALSE,"RED","1400 - Raw meats below and away from ready to eat food; species separated",5,"PR0017934","DAWRDLS0D","IVPP50ENI",2
"25","PING'S FOOD MART","PING'S FOOD MART","1/3/18","Seating 13-50 - Risk Category III","508 S KING ST ","SEATTLE",98104,"(206) 623-6764",-122.3272951,47.59848295,"PING'S FOOD MART","Routine Inspection/Field Review",65,"Unsatisfactory",FALSE,"RED","0200 - Food Worker Cards current for all food workers; new food workers trained",5,"PR0017934","DAWRDLS0D","IV3KWP7YQ",2
"26","PING'S FOOD MART","PING'S FOOD MART","1/3/18","Seating 13-50 - Risk Category III","508 S KING ST ","SEATTLE",98104,"(206) 623-6764",-122.3272951,47.59848295,"PING'S FOOD MART","Routine Inspection/Field Review",65,"Unsatisfactory",FALSE,"RED","1720 - Proper hot holding temperatures; between 130 degrees F to 134 degrees F",5,"PR0017934","DAWRDLS0D","IVB6RWESI",2
"27","PING'S FOOD MART","PING'S FOOD MART","1/3/18","Seating 13-50 - Risk Category III","508 S KING ST ","SEATTLE",98104,"(206) 623-6764",-122.3272951,47.59848295,"PING'S FOOD MART","Routine Inspection/Field Review",65,"Unsatisfactory",FALSE,"RED","1900 - No room temperature storage; proper use of time...",25,"PR0017934","DAWRDLS0D","IVPSC2H0I",2
"28","TAIWANESE GOURMET","HENRY'S TAIWAN PLUS","1/3/18","Seating 13-50 - Risk Category III","522 S KING ST","SEATTLE",98104,"(206) 355-8833",-122.3267277,47.59848548,"TAIWANESE GOURMET","Routine Inspection/Field Review",50,"Unsatisfactory",FALSE,"RED","2110 - Proper cold holding temperatures (greater than  45 degrees F)",10,"PR0044991","DA0BBRXIG","IV7W2WBAZ",2
"29","TAIWANESE GOURMET","HENRY'S TAIWAN PLUS","1/3/18","Seating 13-50 - Risk Category III","522 S KING ST","SEATTLE",98104,"(206) 355-8833",-122.3267277,47.59848548,"TAIWANESE GOURMET","Routine Inspection/Field Review",50,"Unsatisfactory",FALSE,"RED","0600 - Adequate handwashing facilities",10,"PR0044991","DA0BBRXIG","IVO5FSOIW",2
"30","TAIWANESE GOURMET","HENRY'S TAIWAN PLUS","1/3/18","Seating 13-50 - Risk Category III","522 S KING ST","SEATTLE",98104,"(206) 355-8833",-122.3267277,47.59848548,"TAIWANESE GOURMET","Routine Inspection/Field Review",50,"Unsatisfactory",FALSE,"RED","1400 - Raw meats below and away from ready to eat food; species separated",5,"PR0044991","DA0BBRXIG","IVWWYYZIW",2
"31","TAIWANESE GOURMET","HENRY'S TAIWAN PLUS","1/3/18","Seating 13-50 - Risk Category III","522 S KING ST","SEATTLE",98104,"(206) 355-8833",-122.3267277,47.59848548,"TAIWANESE GOURMET","Routine Inspection/Field Review",50,"Unsatisfactory",FALSE,"RED","1900 - No room temperature storage; proper use of time...",25,"PR0044991","DA0BBRXIG","IV83DUHJ9",2
"32","GREEN HOUSE","GREEN HOUSE","1/3/18","Seating 13-50 - Risk Category III","4106 BROOKLYN AVE NE #101 A","Seattle",98105,"(206) 632-2600",-122.3140434,47.65714553,"GREEN HOUSE","Routine Inspection/Field Review",30,"Unsatisfactory",FALSE,"BLUE","3400 - Wiping cloths properly used, stored, proper sanitizer",5,"PR0032790","DACH028IF","IVJ0TCXDQ",2
"33","GREEN HOUSE","GREEN HOUSE","1/3/18","Seating 13-50 - Risk Category III","4106 BROOKLYN AVE NE #101 A","Seattle",98105,"(206) 632-2600",-122.3140434,47.65714553,"GREEN HOUSE","Routine Inspection/Field Review",30,"Unsatisfactory",FALSE,"RED","1600 - Proper cooling procedure",25,"PR0032790","DACH028IF","IVF96DL08",2
"34","GUANACO'S TACOS","GUANACO'S TACOS","1/3/18","Seating 13-50 - Risk Category III","4106 BROOKLYN AVE NE ","Seattle",98105,"",-122.3140434,47.65714553,"GUANACO'S TACOS","Routine Inspection/Field Review",5,"Unsatisfactory",FALSE,"BLUE","3300 - Potential food contamination prevented during delivery,  preparation, storage, display",5,"PR0040483","DA4CVPTWC","IVTEJSACI",2
"35","GUO C100 UW JUICE BAR","GUO C100 UW JUICE BAR","1/3/18","Seating 13-50 - Risk Category II","4106 BROOKLYN AVE NE ","Seattle",98105,"(253) 394-2254",-122.3140434,47.65714553,"GUO C100 UW JUICE BAR","Routine Inspection/Field Review",8,"Satisfactory",FALSE,"BLUE","3700 - In-use utensils properly stored",3,"PR0032759","DA4H0AICR","IVMCDGQYM",1
"36","GUO C100 UW JUICE BAR","GUO C100 UW JUICE BAR","1/3/18","Seating 13-50 - Risk Category II","4106 BROOKLYN AVE NE ","Seattle",98105,"(253) 394-2254",-122.3140434,47.65714553,"GUO C100 UW JUICE BAR","Routine Inspection/Field Review",8,"Satisfactory",FALSE,"BLUE","3400 - Wiping cloths properly used, stored, proper sanitizer",5,"PR0032759","DA4H0AICR","IV0WIMSFW",1
"37","SAIGON DELI","SAIGON DELI","1/3/18","Seating 13-50 - Risk Category III","4142 BROOKLYN AVE NE ","Seattle",98105,"(206) 634-2866",-122.3140174,47.65813255,"SAIGON DELI","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0015623","DAGHYGXHI","",1
"38","ALKI BAKERY","ALKI BAKERY","1/3/18","Seating 13-50 - Risk Category III","5700 1ST AVE S","SEATTLE",98108,"(206) 762-1633",-122.3338845,47.55171762,"ALKI BAKERY","Routine Inspection/Field Review",10,"Unsatisfactory",FALSE,"RED","0600 - Adequate handwashing facilities",10,"PR0032042","DAKKOX0XC","IVFPCSUSM",2
"39","ESSENTIAL BAKING COMPANY","ESSENTIAL BAKING COMPANY","1/3/18","Seating 13-50 - Risk Category III","5601 1ST AVE S ","SEATTLE",98108,"(206) 387-1243",-122.3348663,47.55230997,"ESSENTIAL BAKING COMPANY","Routine Inspection/Field Review",5,"Satisfactory",FALSE,"BLUE","2800 - Food received at proper temperature",5,"PR0079961","DASKG6QK9","IVKN661C6",1
"40","LAST CHANCE","LAST CHANCE","1/3/18","Seating 13-50 - Risk Category III","5606 1ST AVE S","Seattle",98108,"",-122.3339053,47.55248286,"LAST CHANCE","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0002685","DAZA8EBMG","",1
"41","PIG IRON BAR B-Q","PIG IRON BAR B-Q","1/3/18","Seating 13-50 - Risk Category III","5602 1ST AVE S","Seattle",98108,"(206) 767-3767",-122.3339009,47.55259868,"PIG IRON BAR B-Q","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0003219","DABKET11W","",1
"42","SHELL - DENNY WAY","SHELL - DENNY WAY","1/3/18","Seating 0-12 - Risk Category III","620 DENNY WAY ","SEATTLE",98109,"",-122.3441108,47.61881047,"SHELL - DENNY WAY","Routine Inspection/Field Review",5,"Satisfactory",FALSE,"BLUE","3300 - Potential food contamination prevented during delivery,  preparation, storage, display",5,"PR0053539","DAVBGY0HG","IVDOATQ0T",1
"43","SUBWAY #27239","SUBWAY #27239","1/3/18","Seating 13-50 - Risk Category III","97 DENNY WAY ","SEATTLE",98109,"(206) 724-9600",-122.3556871,47.61838329,"SUBWAY #27239","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0069259","DAUV9TFI0","",1
"44","TEKU TAVERN","TEKU TAVERN","1/3/18","Seating 151-250 - Risk Category I","552 DENNY WAY","SEATTLE",98109,"(770) 714-1432",-122.3458384,47.6187607,"TEKU TAVERN","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0086161","DA6B35CSB","",1
"45","ZEEKS PIZZA INC","ZEEKS PIZZA INC","1/3/18","Seating 51-150 - Risk Category III","419 DENNY WAY ","Seattle",98109,"(206) 443-1948",-122.3478036,47.61840916,"ZEEKS PIZZA INC","Routine Inspection/Field Review",15,"Unsatisfactory",FALSE,"BLUE","4100 - Warewashing facilities properly installed,...",5,"PR0003613","DADTYTBU6","IVG2AL2K5",1
"46","ZEEKS PIZZA INC","ZEEKS PIZZA INC","1/3/18","Seating 51-150 - Risk Category III","419 DENNY WAY ","Seattle",98109,"(206) 443-1948",-122.3478036,47.61840916,"ZEEKS PIZZA INC","Routine Inspection/Field Review",15,"Unsatisfactory",FALSE,"RED","0600 - Adequate handwashing facilities",10,"PR0003613","DADTYTBU6","IV2NJGTGW",1
"47","LITTLE UNCLE","LITTLE UNCLE","1/3/18","Seating 13-50 - Risk Category III","1523 E MADISON ST #101","SEATTLE",98122,"(206) 549-6507",-122.311713,47.61469102,"LITTLE UNCLE","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0085664","DAG9RO3UH","",1
"48","AUNTIE ANNE'S PRETZELS","AUNTIE ANNE'S PRETZELS","1/3/18","Seating 0-12 - Risk Category II","401 NE NORTHGATE WAY #516","Seattle",98125,"",-122.3237688,47.70824849,"AUNTIE ANNE'S PRETZELS","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0051939","DAPU3UHOV","",1
"49","PIROSHKY PIROSHKY","PIROSHKY PIROSHKY","1/3/18","Seating 0-12 - Risk Category III","401 NE NORTHGATE WAY #452","SEATTLE",98125,"(206) 764-1000",-122.326021,47.704201,"PIROSHKY PIROSHKY","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0087177","DADKO0YGO","",1
"50","ONE POT","ONE POT","1/3/18","Seating 13-50 - Risk Category III","506 12TH AVE S ","Seattle",98144,"(206) 550-9872",-122.316998,47.5980588,"ONE POT","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0046840","DALLMQYL8","",2
"51","QUICK PACK MART","QUICK PACK MART","1/3/18","Seating 0-12 - Risk Category III","2616 S JACKSON ST","Seattle",98144,"(206) 328-2127",-122.2978378,47.59946863,"QUICK PACK MART","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0046115","DAKXZPI43","",1
"52","SEATTLE DELI","SEATTLE DELI","1/3/18","Seating 0-12 - Risk Category III","225 12TH AVE S ","SEATTLE",98144,"(206) 683-5342",-122.3174533,47.60029078,"SEATTLE DELI","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0067545","DA2HPGCAI","",2
"53","WOOD SHOP BBQ","WOOD SHOP BBQ","1/3/18","Seating 13-50 - Risk Category III","2513 S JACKSON ST","SEATTLE",98144,"(206) 618-8510",-122.2994466,47.59909915,"WOOD SHOP BBQ","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0086430","DAA2HQUMQ","",1
"54","BEBA'S DELI","BEBA'S DELI","1/4/18","Seating 13-50 - Risk Category III","415 1ST AVE S ","Seattle",98104,"(206) 767-1818",-122.3345979,47.59860104,"BEBA'S DELI","Routine Inspection/Field Review",5,"Satisfactory",FALSE,"BLUE","3300 - Potential food contamination prevented during delivery,  preparation, storage, display",5,"PR0026367","DAJXSNXET","IVOMHWRPZ",2
"55","BERLINER DONER KEBAB","BERLINER DONER KEBAB","1/4/18","Seating 13-50 - Risk Category III","221 1ST AVE S ","Seattle",98104,"",-122.334585,47.60020445,"BERLINER DONER KEBAB","Routine Inspection/Field Review",20,"Unsatisfactory",FALSE,"BLUE","3300 - Potential food contamination prevented during delivery,  preparation, storage, display",5,"PR0049792","DAMWBAEYI","IVNK1YVTF",1
"56","BERLINER DONER KEBAB","BERLINER DONER KEBAB","1/4/18","Seating 13-50 - Risk Category III","221 1ST AVE S ","Seattle",98104,"",-122.334585,47.60020445,"BERLINER DONER KEBAB","Routine Inspection/Field Review",20,"Unsatisfactory",FALSE,"RED","2200 - Accurate thermometer provided and used ...",5,"PR0049792","DAMWBAEYI","IV5LB9HMM",1
"57","BERLINER DONER KEBAB","BERLINER DONER KEBAB","1/4/18","Seating 13-50 - Risk Category III","221 1ST AVE S ","Seattle",98104,"",-122.334585,47.60020445,"BERLINER DONER KEBAB","Routine Inspection/Field Review",20,"Unsatisfactory",FALSE,"RED","2110 - Proper cold holding temperatures (greater than  45 degrees F)",10,"PR0049792","DAMWBAEYI","IVPWX10YV",1
"58","CENTRAL SALOON,  THE","CENTRAL SALOON , THE","1/4/18","Seating 51-150 - Risk Category III","207 1ST AVE S ","Seattle",98104,"",-122.3345783,47.60058738,"CENTRAL SALOON,  THE","Routine Inspection/Field Review",35,"Unsatisfactory",FALSE,"BLUE","4100 - Warewashing facilities properly installed,...",5,"PR0002542","DAKWE6TIE","IVD0M5MGU",2
"59","CENTRAL SALOON,  THE","CENTRAL SALOON , THE","1/4/18","Seating 51-150 - Risk Category III","207 1ST AVE S ","Seattle",98104,"",-122.3345783,47.60058738,"CENTRAL SALOON,  THE","Routine Inspection/Field Review",35,"Unsatisfactory",FALSE,"BLUE","2900 - Adequate equipment for temperature control",5,"PR0002542","DAKWE6TIE","IVN6RRGHY",2
"60","CENTRAL SALOON,  THE","CENTRAL SALOON , THE","1/4/18","Seating 51-150 - Risk Category III","207 1ST AVE S ","Seattle",98104,"",-122.3345783,47.60058738,"CENTRAL SALOON,  THE","Routine Inspection/Field Review",35,"Unsatisfactory",FALSE,"RED","0600 - Adequate handwashing facilities",10,"PR0002542","DAKWE6TIE","IV6N8MN3X",2
"61","CENTRAL SALOON,  THE","CENTRAL SALOON , THE","1/4/18","Seating 51-150 - Risk Category III","207 1ST AVE S ","Seattle",98104,"",-122.3345783,47.60058738,"CENTRAL SALOON,  THE","Routine Inspection/Field Review",35,"Unsatisfactory",FALSE,"RED","2110 - Proper cold holding temperatures (greater than  45 degrees F)",10,"PR0002542","DAKWE6TIE","IVY4XN80J",2
"62","CENTRAL SALOON,  THE","CENTRAL SALOON , THE","1/4/18","Seating 51-150 - Risk Category III","207 1ST AVE S ","Seattle",98104,"",-122.3345783,47.60058738,"CENTRAL SALOON,  THE","Routine Inspection/Field Review",35,"Unsatisfactory",FALSE,"RED","0200 - Food Worker Cards current for all food workers; new food workers trained",5,"PR0002542","DAKWE6TIE","IVAKXBCYS",2
"63","J & M CAFE","J & M CAFE","1/4/18","Seating 51-150 - Risk Category III","201 1ST AVE S","SEATTLE",98104,"(206) 669-6969",-122.334412,47.600756,"J & M CAFE","Routine Inspection/Field Review",5,"Satisfactory",FALSE,"BLUE","4100 - Warewashing facilities properly installed,...",5,"PR0003009","DANO6Y87E","IVJPQA5DU",1
"64","PHO BA","PHO BA","1/4/18","Seating 13-50 - Risk Category III","415 7TH AVE S","Seattle",98104,"(206) 621-0532",-122.3239699,47.59873864,"PHO BA","Routine Inspection/Field Review",75,"Unsatisfactory",FALSE,"BLUE","4200 - Food-contact surfaces maintained, clean, sanitized",5,"PR0034024","DAWXELKVP","IVZVVX0WU",2
"65","PHO BA","PHO BA","1/4/18","Seating 13-50 - Risk Category III","415 7TH AVE S","Seattle",98104,"(206) 621-0532",-122.3239699,47.59873864,"PHO BA","Routine Inspection/Field Review",75,"Unsatisfactory",FALSE,"BLUE","3400 - Wiping cloths properly used, stored, proper sanitizer",5,"PR0034024","DAWXELKVP","IVSWHQJU3",2
"66","PHO BA","PHO BA","1/4/18","Seating 13-50 - Risk Category III","415 7TH AVE S","Seattle",98104,"(206) 621-0532",-122.3239699,47.59873864,"PHO BA","Routine Inspection/Field Review",75,"Unsatisfactory",FALSE,"RED","1900 - No room temperature storage; proper use of time...",25,"PR0034024","DAWXELKVP","IVFA0WZDB",2
"67","PHO BA","PHO BA","1/4/18","Seating 13-50 - Risk Category III","415 7TH AVE S","Seattle",98104,"(206) 621-0532",-122.3239699,47.59873864,"PHO BA","Routine Inspection/Field Review",75,"Unsatisfactory",FALSE,"RED","0500 - Proper barriers used to prevent bare hand contact with ready to eat foods.",25,"PR0034024","DAWXELKVP","IVWJNBC18",2
"68","PHO BA","PHO BA","1/4/18","Seating 13-50 - Risk Category III","415 7TH AVE S","Seattle",98104,"(206) 621-0532",-122.3239699,47.59873864,"PHO BA","Routine Inspection/Field Review",75,"Unsatisfactory",FALSE,"RED","2110 - Proper cold holding temperatures (greater than  45 degrees F)",10,"PR0034024","DAWXELKVP","IVO04MG00",2
"69","PHO BA","PHO BA","1/4/18","Seating 13-50 - Risk Category III","415 7TH AVE S","Seattle",98104,"(206) 621-0532",-122.3239699,47.59873864,"PHO BA","Routine Inspection/Field Review",75,"Unsatisfactory",FALSE,"RED","2300 - Proper Consumer Advisory posted for raw ...",5,"PR0034024","DAWXELKVP","IVC0U50UF",2
"70","HENRY'S TAIWAN UW","HENRY'S TAIWAN UW","1/4/18","Seating 13-50 - Risk Category III","4106 BROOKLYN AVE NE","SEATTLE",98105,"(206) 399-0797",-122.3140418,47.65714735,"HENRY'S TAIWAN UW","Routine Inspection/Field Review",20,"Unsatisfactory",FALSE,"BLUE","3300 - Potential food contamination prevented during delivery,  preparation, storage, display",5,"PR0083244","DA0FA8U4O","IV7MYERX0",2
"71","HENRY'S TAIWAN UW","HENRY'S TAIWAN UW","1/4/18","Seating 13-50 - Risk Category III","4106 BROOKLYN AVE NE","SEATTLE",98105,"(206) 399-0797",-122.3140418,47.65714735,"HENRY'S TAIWAN UW","Routine Inspection/Field Review",20,"Unsatisfactory",FALSE,"BLUE","4000 - Food and non-food surfaces properly used and...",5,"PR0083244","DA0FA8U4O","IVP0GWC2Y",2
"72","HENRY'S TAIWAN UW","HENRY'S TAIWAN UW","1/4/18","Seating 13-50 - Risk Category III","4106 BROOKLYN AVE NE","SEATTLE",98105,"(206) 399-0797",-122.3140418,47.65714735,"HENRY'S TAIWAN UW","Routine Inspection/Field Review",20,"Unsatisfactory",FALSE,"RED","2110 - Proper cold holding temperatures (greater than  45 degrees F)",10,"PR0083244","DA0FA8U4O","IVEFAEVOT",2
"73","SAFEWAY INC #3091","SAFEWAY #3091/BAKERY","1/4/18","Bakery-no seating - Risk Category II","4732 BROOKLYN AVE NE ","Seattle",98105,"",-122.3138891,47.66427584,"SAFEWAY INC #3091","Routine Inspection/Field Review",0,"Satisfactory",FALSE,"","",0,"PR0080488","DAHUYJTP0","",NA
"74","SAFEWAY INC #3091","SAFEWAY STORE #3091","1/4/18","Meat/Sea Food - Risk Category III","4732 BROOKLYN AVE NE ","Seattle",98105,"",-122.3138891,47.66427584,"SAFEWAY INC #3091","Routine Inspection/Field Review",20,"Unsatisfactory",FALSE,"BLUE","3400 - Wiping cloths properly used, stored, proper sanitizer",5,"PR0007998","DA6UTKLWY","IVKJYGSQJ",NA
"75","SAFEWAY INC #3091","SAFEWAY STORE #3091","1/4/18","Meat/Sea Food - Risk Category III","4732 BROOKLYN AVE NE ","Seattle",98105,"",-122.3138891,47.66427584,"SAFEWAY INC #3091","Routine Inspection/Field Review",20,"Unsatisfactory",FALSE,"RED","1300 - Food contact surfaces and utensils used for raw meat thoroughly cleaned and sanitized.  no ..",15,"PR0007998","DA6UTKLWY","IV3RPMP5G",NA
"76","SAFEWAY INC #3091","SAFEWAY STORE #3091","1/4/18","Seating 0-12 - Risk Category III","4732 BROOKLYN AVE NE ","Seattle",98105,"",-122.3138891,47.66427584,"SAFEWAY INC #3091","Routine Inspection/Field Review",25,"Unsatisfactory",FALSE,"RED","0400 - Hands washed as required",25,"PR0001871","DADA2S2ZY","IVWSOQEGD",2
"77","SIZZLE & CRUNCH","SIZZLE & CRUNCH","1/4/18","Seating 13-50 - Risk Category III","1313 NE 42ND ST ","SEATTLE",98105,"(425) 232-8275",-122.3137243,47.65822172,"SIZZLE & CRUNCH","Return Inspection",30,"Unsatisfactory",FALSE,"RED","0200 - Food Worker Cards current for all food workers; new food workers trained",5,"PR0071038","DATALPQ88","IVGBZZB2H",4
